PARTIDA_ESPECIFICA,DESCRIPCION,,,
81114,Jalisco,,,
81115,México,,,
81116,Michoacán,,,
81117,Morelos,,,
81118,Nayarit,,,
81119,Nuevo León,,,
81120,Oaxaca,,,
81121,Puebla,,,
81122,Querétaro,,,
81123,Quintana Roo,,,
81124,San Luis Potosí,,,
81125,Sinaloa,,,
81126,Sonora,,,
81127,Tabasco,,,
81128,Tamaulipas,,,
81129,Tlaxcala,,,
81130,Veracruz,,,
81131,Yucatán,,,
81132,Zacatecas,,,
81202,Baja California,,,
81203,Baja California Sur,,,
81204,Campeche,,,
81205,Coahuila,,,
81206,Colima,,,
81207,Chiapas,,,
81208,Chihuahua,,,
81209,Distrito Federal,,,
81210,Durango,,,
81211,Guanajuato,,,
81212,Guerrero,,,
81213,Hidalgo,,,
81214,Jalisco,,,
81215,México,,,
81216,Michoacán,,,
81217,Morelos,,,
81218,Nayarit,,,
81219,Nuevo León,,,
81220,Oaxaca,,,
81221,Puebla,,,
81222,Querétaro,,,
81223,Quintana Roo,,,
81224,San Luis Potosí,,,
81225,Sinaloa,,,
81226,Sonora,,,
81227,Tabasco,,,
81228,Tamaulipas,,,
81229,Tlaxcala,,,
81230,Veracruz,,,
81231,Yucatán,,,
81232,Zacatecas,,,
81402,Baja California,,,
81403,Baja California Sur,,,
81404,Campeche,,,
81405,Coahuila,,,
81406,Colima,,,
81407,Chiapas,,,
81408,Chihuahua,,,
81409,Distrito Federal,,,
81410,Durango,,,
81411,Guanajuato,,,
81412,Guerrero,,,
81413,Hidalgo,,,
81414,Jalisco,,,
81415,México,,,
81416,Michoacán,,,
81417,Morelos,,,
81418,Nayarit,,,
81419,Nuevo León,,,
81420,Oaxaca,,,
81421,Puebla,,,
81422,Querétaro,,,
81423,Quintana Roo,,,
81424,San Luis Potosí,,,
81425,Sinaloa,,,
81426,Sonora,,,
81427,Tabasco,,,
81428,Tamaulipas,,,
81429,Tlaxcala,,,
81430,Veracruz,,,
81431,Yucatán,,,
81432,Zacatecas,,,
21199,"Materiales de administracion, emision de documentos y articulos oficiales (Solo Ramo 35)",,,
22199,Alimentos y utensilios (Solo Ramo 35),,,
24199,Materiales y articulos de construccion y de reparacion (Solo Ramo 35),,,
25199,"Productos quimicos, farmaceuticos y de laboratorio (Solo Ramo 35)",,,
27199,"Vestuario, blancos, prendas de proteccion y articulos deportivos (Solo Ramo 35)",,,
29199,"Herramientas, refacciones y accesorios menores (Solo Ramo 35)",,,
34199,"Servicios financieros, bancarios y comerciales (Solo Ramo 35)",,,
37199,Servicios de traslado y viaticos (Solo Ramo 35),,,
38199,Servicios oficiales (Solo Ramo 35),,,
44199,Ayudas sociales (Solo Ramo 35),,,
26199,"Combustibles, lubricantes y aditivos (Solo Ramo 35)",,,
31199,Servicios basicos (Solo Ramo 35),,,
32199,Servicios de arrendamiento (Solo Ramo 35),,,
33199,"Servicios profesionales, cientificos, tecnicos y otros servicios (Solo Ramo 35)",,,
39199,Otros servicios generales (Solo Ramo 35),,,
36199,Servicios de comunicacion social y publicidad (Solo Ramo 35),,,
35199,"Servicios de instalacion, reparacion, mantenimiento y conservacion (Solo Ramo 35)",,,
23199,Materias primas y materiales de produccion y comercializacion (Solo Ramo 35),,,
39911,"Aportaciones a Instituciones, Organismos, Federaciones y Confederaciones Nacionales",,,
49199,Transferencias al exterior (Solo Ramo 35),,,
51199,Mobiliario y equipo de administracion (Solo Ramo 35),,,
53199,Equipo e instrumental medico y de laboratorio (Solo Ramo 35),,,
54199,Vehiculos y equipo de transporte (Solo Ramo 35),,,
56199,"Maquinaria, otros equipos y herramientas (Solo Ramo 35)",,,
59199,Activos intangibles (Solo Ramo 35),,,
62199,Obra publica en bienes propios (Solo Ramo 35),,,
52199,Mobiliario y equipo educacional y recreativo (Solo Ramo 35),,,
13204,Primas de vacaciones y dominical de áreas administrativas,,,
15302,Prestaciones y previsiones de retiro,,,
21801,Materiales para el registro e identificación de bienes y personas,,,
59401,Derechos,,,
59701,Licencias informáticas e intelectuales,,,
36401,Servicios de Revelado de Fotografías,,,
61201,Edificación no habitacional,,,
13203,Gratificación de fin de año de áreas administrativas,,,
15405,Compensación de Apoyo,,,
15903,Impuesto del aguinaldo y prima vacacional de áreas administrativas,,,
44109,Apoyo para alimentos a funcionarios de casilla el día de la jornada electoral federal,,,
58199,Bienes inmuebles (Solo Ramo 35),,,
33106,"Servicios legales, de contabilidad, auditoría y relacionados",,,
